name,gender,country,disciplines
Roumaysa BOUALAM,Female,Algeria,['Boxing']
Imane KHELIF,Female,Algeria,['Boxing']
Dounia KHELIF,Female,Algeria,['Boxing']
Ignacio PIZARRO,Male,Argentina,['Handball']
Pablo SIMONET,Male,Argentina,['Handball']
Diego SIMONET,Male,Argentina,['Handball']
Nicolas BONO,Male,Argentina,['Handball']
Marcos MONETA,Male,Argentina,['Rugby Sevens']
Santiago VERA FELD,Male,Argentina,['Rugby Sevens']
Matias OSADCZUK,Male,Argentina,['Rugby Sevens']
Santiago ALVAREZ,Male,Argentina,['Rugby Sevens']
German SCHULZ,Male,Argentina,['Rugby Sevens']
Joaquin PELLANDINI,Male,Argentina,['Rugby Sevens']
Gaston REVOL,Male,Argentina,['Rugby Sevens']
Soren OPTI,Male,Suriname,['Badminton']
Tomas ELIZALDE,Male,Argentina,['Rugby Sevens']
Tobias WADE,Male,Argentina,['Rugby Sevens']
Matteo GRAZIANO,Male,Argentina,['Rugby Sevens']
Luciano GONZALEZ,Male,Argentina,['Rugby Sevens']
Agustin FRAGA,Male,Argentina,['Rugby Sevens']
Rodrigo ISGRO,Male,Argentina,['Rugby Sevens']
Matias DELL OLIO,Male,Argentina,['Skateboarding']
Manuela GOMEZ SANCHEZ,Female,Colombia,['Canoe Sprint']
Mikel SCHREUDERS,Male,Aruba,['Swimming']
Ethan WESTERA,Male,Aruba,['Sailing']
Just van AANHOLT,Male,Aruba,['Sailing']
Philip ELHAGE,Male,Aruba,['Shooting']
Shanayah HOWELL,Female,Aruba,['Cycling BMX Racing']
Yeni Marcela ARIAS CASTANEDA,Female,Colombia,['Boxing']
Ingrit Lorena VALENCIA VICTORIA,Female,Colombia,['Boxing']
Yilmar Leandro GONZALEZ LANDAZURY,Male,Colombia,['Boxing']
John Edison RODRIGUEZ,Male,Colombia,['Fencing']
Goretti Alejandra ZUMAYA FLORES,Female,Mexico,['Shooting']
Jessika GBAI,Female,Côte d'Ivoire,['Athletics']
Ekaterina BORDACHYOVA,Female,Tajikistan,['Swimming']
Annaliese DRAGAN,Female,Romania,['Rhythmic Gymnastics']
Herminia TEIXEIRA SANTANA,Female,Sao Tome & Principe,['Canoe Sprint']
Marko GOLUBIC,Male,Croatia,['Taekwondo']
Alejandra ALONSO ALDERETE,Female,Paraguay,['Rowing']
Romina BIAGIOLI,Female,Argentina,['Triathlon']
Lisa BARBELIN,Female,France,['Archery']
Amelie CORDEAU,Female,France,['Archery']
Caroline LOPEZ,Female,France,['Archery']
Baptiste ADDIS,Male,France,['Archery']
Thomas CHIRAULT,Male,France,['Archery']
Jean-Charles VALLADONT,Male,France,['Archery']
Santiago LORENZO,Male,Argentina,['Table Tennis']
Dara ALIZADEH,Male,Bermuda,['Rowing']
Janeth GOMEZ VALDIVIA,Female,Mexico,['Weightlifting']
Daniela FONSECA CARRAZANA,Female,Cuba,['Table Tennis']
Jorge CAMPOS,Male,Cuba,['Table Tennis']
Andy PEREIRA,Male,Cuba,['Table Tennis']
Arlenis SIERRA,Female,Cuba,['Cycling Road']
Farzad BAHER ARASBARAN,Male,IR Iran,['Fencing']
Ali PAKDAMAN,Male,IR Iran,['Fencing']
Mohammad FOTOUHI,Male,IR Iran,['Fencing']
Mohammad RAHBARI,Male,IR Iran,['Fencing']
Anisley GARCIA NAVARRO,Female,Cuba,['Diving']
Prisis RUIZ,Female,Cuba,['Diving']
Andrea BECALI,Female,Cuba,['Swimming']
Rodolfo FALCON JR,Male,Cuba,['Swimming']
Roldeney de OLIVEIRA,Male,Sao Tome & Principe,['Judo']
Gorete SEMEDO,Female,Sao Tome & Principe,['Athletics']
Adina DIACONU,Female,Romania,['Table Tennis']
Eduard IONESCU,Male,Romania,['Table Tennis']
Ovidiu IONESCU,Male,Romania,['Table Tennis']
Elizabeta SAMARA,Female,Romania,['Table Tennis']
Bernadette SZOCS,Female,Romania,['Table Tennis']
